Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - 2XM,15/06/2023,"7,000,000.00",AUD,2XM Consult Pty Ltd,95 Pitt Street Sydney NSW 2000,YES,NO,SELECTIVE,,,,,,,,CW2309549,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2019 SOFTWARE SERVICES CONTRACT,18/08/2019,"6,946,290.00",AUD,Data #3 Limited,67 High Street Toowong QLD 4066,YES,NO,OPEN,,,,,,,,CW2277664,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4087",2024 WoG FY25 QF1211 QFleet - Isuzu,1/07/2024,"6,457,500.00",AUD,Brisbane Isuzu,26 Kerry Road Archerfield QLD 4108,NO,NO,OPEN,,,,,,,,CW2318618,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2023 PEOPLE CONNECT LEARNING,8/11/2023,"6,169,632.00",AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,CW2310212,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4015",2024 Plant Hire Panel - Loaders R Us Pty Ltd,25/06/2024,"6,000,000.00",AUD,Loaders R Us Pty Ltd,36 Reif Street Flinders View QLD 4305,NO,NO,OPEN,,,,,,,,CW2314445,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4027",2024 Plant Hire Panel - Mortons Earthmoving,27/06/2024,"6,000,000.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,OPEN,,,,,,,,CW2314499,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4096",2024 WoG FY25 QF1211 QFleet - Metro Ford,1/07/2024,"5,842,500.00",AUD,Metro Ford,Cnr Breakfast Creek Road and Evelyn Newstead QLD 4006,NO,NO,OPEN,,,,,,,,CW2318825,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2010 (CON-4983_6) SUPPLY OF BULK FUEL, LUBES AND CARD SERVICES AMPOL (CALTEX) AUSTRALIA PTY LTD",20/09/2010,"5,320,000.00",AUD,Caltex Aust Petroleum Pty Ltd,PO Box 794 Lytton QLD 4178,YES,NO,OPEN,,,,,,,,CW2285756,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SYSTEMS ENGINEERING SAFETY ASSURANCE (SESA) CONSULTANCY PANEL - IPLAN CONSULTING,17/08/2022,"4,223,598.00",AUD,iPLAN Consulting Pty Ltd,9 Moore Street Albion QLD 4010,YES,NO,OPEN,,,,,,,,CW2303199,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4089",2024 WoG FY25 QF1211 QFleet - Bremer Ford,1/07/2024,"4,100,000.00",AUD,Bremer Ford,34 Brisbane Road Ebbw Vale QLD 4304,NO,NO,OPEN,,,,,,,,CW2318623,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2023 DIGITAL DELIVERY PANEL (ICT) - DXC,30/06/2023,"4,011,536.63",AUD,DXC Technology Australia Pty Limite,26 Talavara Road Macquarie Park NSW 2113,YES,NO,OPEN,,,,,,,,CW2308301,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4020",2024 Plant Hire Panel - Macpherson James Civil Pty Ltd,27/06/2024,"4,000,000.00",AUD,Macpherson James Civil Pty Ltd,20 Albert Street Rocklea QLD 4106,NO,NO,OPEN,,,,,,,,CW2314457,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4043",QITC - 2024 WOG ICTSS.2103 ServiceNow,24/06/2024,"3,435,272.55",AUD,Servicenow Australia Pty Ltd,50 Bridge Street Sydney NSW 2000,NO,NO,OPEN,,,,,,,,CW2316252,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4083",2024 Mayne Office Upgrades A and C Blocks,15/07/2024,"3,248,121.00",AUD,APGC Group Pty Ltd,1 Holman Street Kangaroo Point QLD 4169,NO,NO,OPEN,,,,,,,,CW2317947,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4069",2024 Plant Hire Panel - L and D Earthmoving Ltd,15/07/2024,"3,000,000.00",AUD,L & D Earthmoving Ltd,11 Russell Street Kallangur QLD 4503,NO,NO,OPEN,,,,,,,,CW2314435,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4100",2024 Surprise Creek Remediation Works,25/07/2024,"2,998,703.00",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,LIMITED,Urgency / Emergency,,,,,,,CW2319091,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2018 TRACK AND OVERHEAD DATA ANALYSIS SOFTWARE,14/05/2018,"2,845,849.20",AUD,ERDMANN-Softwaregesellschaftg mbH,ERDMANN-Softwaregesellschaft Gorltiz 14 2826,YES,NO,OPEN,,,,,,,,CW2265553,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2020 WOG LEGAL SERVICES PANEL - LAWYERS ON DEMAND,31/07/2020,"2,840,559.50",AUD,Lawyers On Demand Australia Pty Ltd,222 Level 2 Clarence Street Sydney NSW 2000,YES,NO,OPEN,,,,,,,,CW2285409,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SYSTEMS ENGINEERING SAFETY ASSURANCE (SESA) CONSULTANCY PANEL - INFRASTRUCTURE ADVISORY,23/08/2022,"2,777,295.00",AUD,Infrastructure Advisory Group P/L,128 Exhibition Street Melbourne VIC 3000,YES,NO,OPEN,,,,,,,,CW2303195,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4041",2018 CW2264050 Cross River Rail Legal Adviser,24/06/2024,"2,537,558.51",AUD,Minter Ellison,1 Eagle Street Brisbane Waterfront Place QLD 4000,NO,NO,LIMITED,Not practical to change supplier,,,,,,,CW2315982,,CW2264050,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4081",2022 Civil and Structural Works Panel - Coast 2 Coast,25/06/2024,"2,500,000.00",AUD,Coast 2 Coast Directional Drilling,69 Spinebill Drive Greenbank QLD 4124,NO,NO,OPEN,,,,,,,,CW2317091,,CW2304987,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 PROVISION OF ELECTRICAL POLE INSPECTIONS AND MAINTENANCE,19/12/2023,"2,446,395.19",AUD,Sparkline Energy Services Pty Ltd,8 Narrien Court Samford Village QLD 4520,YES,NO,OPEN,,,,,,,,CW2312503,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4090",2024 - WoG FY25 QF1211 QFleet - Sci Fleet,1/07/2024,"2,357,500.00",AUD,SCI Fleet Motors Pty Ltd,59 Kitchener Road Kedron QLD 4031,NO,NO,OPEN,,,,,,,,CW2318626,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4007",2024 Plant Hire Panel - JOE WAGNER GROUP PTY LTD,25/06/2024,"2,000,000.00",AUD,Joe Wagner Group Pty Ltd,523 Boundary Street Toowoomba QLD 4350,NO,NO,OPEN,,,,,,,,CW2314419,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4009",2024 Plant Hire Panel - RJ Earthworks Qld Pty Ltd,25/06/2024,"2,000,000.00",AUD,RJ Earthworks Qld Pty Ltd,73 Princes Road Gatton QLD 4343,NO,NO,OPEN,,,,,,,,CW2314425,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4021",2024 Plant Hire Panel - Hughes Gravel,27/06/2024,"2,000,000.00",AUD,Hughes Gravel,48 Forest Hill-Fernvale Road Glenore Grove QLD 4342,NO,NO,OPEN,,,,,,,,CW2314463,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4031",2024 Plant Hire Panel - Alligator Mobile Welding,25/06/2024,"2,000,000.00",AUD,Alligator Mobile Welding,15 Allendale Drive Alligator Creek QLD 4816,NO,NO,OPEN,,,,,,,,CW2314507,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4094",2023 Supply of Ballast and other Quarry products - Regional Quarries Australia,11/07/2024,"2,000,000.00",AUD,Regional Quarries Australia Pty Ltd,20L Sheraton Road Dubbo QLD 2830,NO,NO,OPEN,,,,,,,,CW2318711,,CW2310749,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4097",2023 Supply of Ballast and other Quarry products -Johnstone Quarries,11/07/2024,"2,000,000.00",AUD,Johnstone Concrete & Quarries Pty L,PO Box 941 Moree NSW 2400,NO,NO,OPEN,,,,,,,,CW2318839,,CW2310749,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4086",2024 WoG FY25 QF1211 QFleet - Daimler,1/07/2024,"1,742,500.00",AUD,Daimler Trucks Brisbane,2637 Ipswich Road Darra QLD 4076,NO,NO,OPEN,,,,,,,,CW2318616,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2011 (CON-3077) TELSTRA STANDARD SERVICES AGREEMENT,27/04/2011,"1,670,500.00",AUD,Telstra Accounts Receivable,GPO Box 9901 Melbourne VIC 3001,YES,NO,LIMITED,Commodity market,,,,,,,CW2276144,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2021 CIVIL, STRUCTURAL, ENGINEERING AND INVESTIGATIVE SERVICES PANEL - ARUP AUSTRALIA PTY LTD",12/04/2022,"1,600,000.00",AUD,Arup Australia Pty Ltd,151 Clarence Street Sydney NSW 200,YES,NO,OPEN,,,,,,,,CW2298898,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4001",QITC - 2023 Digital Delivery Panel (ICT) - Accenture,30/06/2023,"1,466,200.00",AUD,Accenture Australia Holdings Pty Lt,3 Sussex street Barangaroo NSW 2000,NO,NO,OPEN,,,,,,,,CW2308281,,CW2308230,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SYSTEMS ENGINEERING SAFETY ASSURANCE (SESA) CONSULTANCY PANEL - ARCADIS,31/08/2022,"1,383,553.00",AUD,Arcadis Australia Pacific Pty Ltd,580 George Street Sydney NSW 2000,YES,NO,OPEN,,,,,,,,CW2303177,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 DESIGN CONSULTANCY SERVICES FOR BURANDA STATION ACCESSIBILITY UPGRADE,30/09/2021,"1,319,500.00",AUD,Cox Achitecture Pty Ltd,"Level 2, 2 Edward Street Brisbane QLD 4000",YES,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2295748,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2021 CIVIL, STRUCTURAL, ENGINEERING AND INVESTIGATIVE SERVICES PANEL - HARP ENGINEERING CONSULTANTS PTY LTD",16/02/2022,"1,300,000.00",AUD,Harp Engineering Consultants,174 Monash Road Tarragindi QLD 4121,YES,NO,OPEN,,,,,,,,CW2298965,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4085",2024 - Mayne West Shunters Building,19/07/2024,"1,065,551.00",AUD,APGC Group Pty Ltd,1 Holman Street Kangaroo Point QLD 4169,NO,NO,SELECTIVE,,,,,,,,CW2318012,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 CRR RAIL INFRASTRUCTURE DELIVERY MANAGEMENT SERVICES,16/08/2022,"1,013,000.00",AUD,Infrastructure Advisory Group P/L,128 Exhibition Street Melbourne VIC 3000,YES,NO,LIMITED,Commodity market,,,,,,,CW2299319,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4005",2024 Plant Hire Panel - Goodies Excavations Pty Ltd,25/06/2024,"1,000,000.00",AUD,Goodies Excavations Pty Ltd,646 Marlborough Sarina Road Sarina QLD 4737,NO,NO,OPEN,,,,,,,,CW2314403,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4006",2024 Plant Hire Panel - Dick Sugden Crane Hire,28/06/2024,"1,000,000.00",AUD,Dick Sugden Crane Hire,76 Water Street Toowoomba QLD 4350,NO,NO,OPEN,,,,,,,,CW2314415,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4008",2024 Plant Hire Panel - Handy Hire,28/06/2024,"1,000,000.00",AUD,Handy Hire,125 Old Maryborough Road Hervy Bay QLD 4655,NO,NO,OPEN,,,,,,,,CW2314423,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4010",2024 Plant Hire Panel - Pipe Management Australia Pty Ltd,25/06/2024,"1,000,000.00",AUD,Pipe Management Australia Pty Ltd,37 Liverpool Street Ingleburn NSW 2565,NO,NO,OPEN,,,,,,,,CW2314427,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4011",2024 Plant Hire Panel - Porter Hire,25/06/2024,"1,000,000.00",AUD,Porter Hire Pty Ltd,117-123 Beatty Road Archerfield QLD 4108,NO,NO,OPEN,,,,,,,,CW2314429,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4012",2024 Plant Hire Panel - Nykkos Earthworks,27/06/2024,"1,000,000.00",AUD,Nykkos Earthworks,33 James Street Manunda Cairns QLD 4870,NO,NO,OPEN,,,,,,,,CW2314437,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4013",2024 Plant Hire Panel - Jordan Rail,25/06/2024,"1,000,000.00",AUD,Jordan Rail Pty Ltd,85 Nichol Street Sunbury VIC 3429,NO,NO,OPEN,,,,,,,,CW2314439,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4014",2024 Plant Hire Panel - OTTO HOUSING AND COMMERCIAL,25/06/2024,"1,000,000.00",AUD,Otto Housing and Commercial,66 Chapman Drive Wamuran QLD 4512,NO,NO,OPEN,,,,,,,,CW2314443,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4016",2024 Plant Hire Panel - H2flow,25/06/2024,"1,000,000.00",AUD,H2flow,44 Boron Street Sumner Park QLD 4074,NO,NO,OPEN,,,,,,,,CW2314447,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4017",2024 Plant Hire Panel - J C and J R McGrath Pty Ltd,25/06/2024,"1,000,000.00",AUD,J C & J R McGrath Pty Ltd,226 Borg Road Alligator Creek Mackay QLD 4741,NO,NO,OPEN,,,,,,,,CW2314450,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4018",2024 Plant Hire Panel - Utility Location Services Pty Ltd,25/06/2024,"1,000,000.00",AUD,Utility Location Services Pty Ltd,5 Activity Court Yatala QLD 4207,NO,NO,OPEN,,,,,,,,CW2314453,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4019",2024 Plant Hire Panel - Total Drain Cleaning,25/06/2024,"1,000,000.00",AUD,Total Drain Cleaning,84 Ingleston Road Wakerley QLD 4154,NO,NO,OPEN,,,,,,,,CW2314455,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4022",2024 Plant Hire Panel - Thee Rail Specialists Pty Ltd,28/06/2024,"1,000,000.00",AUD,Thee Rail Specialists Pty Ltd,6 Unit 20 Maunder Street Springwood QLD 4127,NO,NO,OPEN,,,,,,,,CW2314465,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4023",2024 Plant Hire Panel - EMAK Communications and Civils Pty Ltd,27/06/2024,"1,000,000.00",AUD,EMAK Communications & Civils Pty Lt,20-24 Mafeking Street Stuart QLD 4811,NO,NO,OPEN,,,,,,,,CW2314467,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4024",2024 Plant Hire Panel - Eagle Alliance Earthmoving,26/06/2024,"1,000,000.00",AUD,Eagle Alliance Earthmoving Pty Ltd,8 Metroplex Avenue Murarrie QLD 4172,NO,NO,OPEN,,,,,,,,CW2314469,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4025",2024 Plant Hire Panel - Sarina Crane Hire,28/06/2024,"1,000,000.00",AUD,Sarina Crane Hire Pty Ltd,8 Patch Street Sarina QLD 4737,NO,NO,OPEN,,,,,,,,CW2314478,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4026",2024 Plant Hire Panel - Sherrin Rentals Pty Ltd,25/06/2024,"1,000,000.00",AUD,Sherrin Rentals Pty Ltd,63 Main Beach Road Pinkenba QLD 4008,NO,NO,OPEN,,,,,,,,CW2314495,,CW2312331,,,
