Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 - SIGNALLING ENGINEERING SERVICES PANEL - JMDR ENGINEERING PTY LTD,24/03/2023,"2,121,635.00",AUD,JMDR Engineering Pty Ltd,51 Druitt Street Sydney NSW 2000,NO,NO,OPEN,,,,,,,,CW2310980,,CW2305415,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2020 VIZIRAIL SUPPORT AND MAINTENANCE,11/11/2020,"2,104,578.00",AUD,ICG Transport Systems Pty Ltd,PO Box 369 Adelaide SA 5000,YES,NO,LIMITED,Not practical to change supplier,,,,,,,CW2286760,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - ARUP,14/07/2023,"2,000,000.00",AUD,Arup Australia Pty Ltd,151 Clarence Street Sydney NSW 200,NO,NO,SELECTIVE,,,,,,,,CW2309553,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - AURECON,13/07/2023,"2,000,000.00",AUD,Aurecon Australasia Pty Ltd,32 Turbot Street Brisbane QLD 4001,NO,NO,SELECTIVE,,,,,,,,CW2309555,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - ERNST AND YOUNG,13/07/2023,"2,000,000.00",AUD,Ernst & Young,1 Eagle Street Brisbane QLD 4000,NO,NO,SELECTIVE,,,,,,,,CW2309561,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - JACOBS,13/07/2023,"2,000,000.00",AUD,Jacobs Group (Australia) Pty Ltd,PO Box 3848 South Brisbane QLD 4101,NO,NO,SELECTIVE,,,,,,,,CW2309563,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - LEK CONSULTING,13/07/2023,"2,000,000.00",AUD,L.E.K Consulting Australia P/L,8 Exhibition Street Melbourne VIC 3000,NO,NO,SELECTIVE,,,,,,,,CW2309565,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - NOUS GROUP,13/07/2023,"2,000,000.00",AUD,Nous Group,Lvl 12 259 Queen Street Brisbane QLD 4000,NO,NO,SELECTIVE,,,,,,,,CW2309573,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 NATIVE TITLE ASSESSMENTS,17/07/2023,"1,932,480.00",AUD,AMF Property,PO Box 445 Varsity Lakes QLD 4227,NO,NO,OPEN,,,,,,,,CW2307465,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2020 WOG GGS0060 TEMPORARY AND CONTRACTED WORKERS PREFERRED SUPPLIER PANEL (PSP)  - HAYS SPECIALIST RECRUITMENT (AUSTRALIA) PTY LIMITED,30/05/2020,"1,478,609.75",AUD,Hays Specialist Recruitment,PO Box 3868 Sydney NSW 2001,YES,NO,OPEN,,,,,,,,CW2287191,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2021 CIVIL, STRUCTURAL, ENGINEERING AND INVESTIGATIVE SERVICES PANEL - SMEC AUSTRALIA PTY. LIMITED",10/02/2022,"1,090,797.00",AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,YES,NO,OPEN,,,,,,,,CW2298867,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SYSTEMS ENGINEERING SAFETY ASSURANCE (SESA) CONSULTANCY PANEL - INFRASTRUCTURE ADVISORY,23/08/2022,"1,036,000.00",AUD,Infrastructure Advisory Group P/L,128 Exhibition Street Melbourne VIC 3000,YES,NO,OPEN,,,,,,,,CW2303195,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 KURANDA GULLY 40 DRAIN LINING,17/07/2023,"928,408.00",AUD,HEH Civil Pty Ltd,30 Lisbum Street East Brisbane QLD 4870,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2309960,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 QR RESPECT TRAINING,7/10/2022,"900,000.00",AUD,Workplace Edge,PO Box 5369 Lota QLD 4179,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2309030,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 - MECHANICAL ENGINEER CONSULTANT - MICHAEL NEWTON,10/01/2022,"752,158.50",AUD,2XM Recruit Pty Ltd,85 South Perth Esplanade South Perth WA 6151,YES,NO,SELECTIVE,,,,,,,,CW2296103,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TIMBER BRIDGE BANK END SOLUTION Â€“ HOPES (HOPFS) ROAD OVERBRIDGE,21/07/2023,"706,083.43",AUD,Vassallo Constructions Pty Ltd,PO Box 8158 Mt Pleasant QLD 4740,NO,NO,LIMITED,Urgency / Emergency,,,,,,,CW2310347,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SYSTEMS ENGINEERING SAFETY ASSURANCE (SESA) CONSULTANCY PANEL - ARCADIS,31/08/2022,"620,500.00",AUD,Arcadis Australia Pacific Pty Ltd,580 George Street Sydney NSW 2000,YES,NO,SELECTIVE,,,,,,,,CW2303177,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/07/2023,"549,998.90",AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,4502693733,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 NORTH COAST LINE CAPACITY IMPROVEMENT PROJECT - PROJECT MANAGER,7/02/2022,"498,399.00",AUD,Aarvee Associates Pty Ltd,167 Eagle Street Brisbane QLD 4000,YES,NO,,,,,,,,,CW2299140,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 - PROJECT MANAGER,14/07/2023,"491,400.00",AUD,Interface Rail Engineering Pty Ltd,470 Collins Street Melbourne VIC 3000,NO,NO,,,,,,,,,CW2310711,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023- PROJECT MANAGER,14/07/2023,"491,400.00",AUD,Interface Rail Engineering Pty Ltd,470 Collins Street Melbourne VIC 3000,NO,NO,,,,,,,,,CW2310713,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",GITC - CENTAMAN SYSTEMS - CENTAMAN,2/11/2015,"451,903.83",AUD,Centaman Systems Pty Ltd,127 Alexander Street Crows Nest NSW 2065,YES,NO,,,,,,,,,CW2242579,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,31/07/2023,"412,500.00",AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502695245,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2020 WOG GGS0060 TEMPORARY AND CONTRACTED WORKERS PREFERRED SUPPLIER PANEL (PSP) - TALENZA QLD PTY LTD,30/05/2020,"410,800.00",AUD,Talenza QLD Pty Ltd,6-10 OConnell Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2310513,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,3/07/2023,"404,250.00",AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502684078,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2020 NAVORI DIGITAL SIGNAGE,4/08/2020,"355,580.00",AUD,Command Digital Signage,30 Park Road Mulgrave NSW 2756,YES,NO,,,,,,,,,CW2285279,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 - MAYNE YARD POWER REDUNDANCY,8/06/2023,"313,863.00",AUD,Kellogg Brown & Root Pty Ltd,199 Grey Street South Brisbane QLD 4101,YES,NO,,,,,,,,,CW2307105,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 TOOWOOMBA PLATFORM AWNING CONSERVATION WORKS,17/11/2021,"300,000.00",AUD,Remedial Building Technicians Pty L,PO Box 1802 Oxenford QLD 4210,YES,NO,,,,,,,,,CW2295856,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,24/07/2023,"250,000.00",AUD,Queensland Urban Utilities,171 Roma Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502689502,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 SPECIALIST HERITAGE PROFESSIONAL SERVICES,15/07/2021,"249,000.00",AUD,Tazia Gaisford,24 D'Aguilar Road The Gap QLD 4061,YES,NO,,,,,,,,,CW2292294,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 - SIGNALLING LABOUR HIRE ARRANGEMENT Â€“ SENIOR CONCEPT ENGINEER AND SIGNAL DESIGN PRODUCTION OFFICE,20/07/2023,"239,200.00",AUD,Rail Systems Australia,PO Box 7063 Cloisters Square PO WA 6850,NO,NO,,,,,,,,,CW2310586,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,10/07/2023,"238,997.00",AUD,Downer Pipetech Pty Ltd,49 Links Avenue North Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502687306,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2023 BUILD OVER RAIL DEVELOPMENT - VENTILATION, FIRE AND LIFE SAFETY SME",19/06/2023,"200,000.00",AUD,Stacey Agnew Pty Ltd,35 Limestone Street Darra QLD 4076,NO,NO,,,,,,,,,CW2308531,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,21/07/2023,"186,499.50",AUD,RJ Earthworks Qld Pty Ltd,PO Box 443 Gatton QLD 4343,NO,NO,,,,,,,,,4502689145,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,14/07/2023,"181,632.00",AUD,Comsteel,PO Box 14 Waratah NSW 2298,NO,NO,,,,,,,,,4502688033,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 - ETCS COMPATIBILITY ASSESSMENT,28/07/2023,"178,924.00",AUD,Network Rail Consulting,62 Pitt Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2309091,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,11/07/2023,"172,975.00",AUD,Danny Forbes Transport P/L,PO Box 1430 Roma QLD 4455,NO,NO,,,,,,,,,4502687537,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 DIAGNOSTIC AND BENCHMARKING ANALYSIS (SOA QGP0050-18 T3),18/07/2023,"165,000.00",AUD,PricewaterhouseCoopers Consulting,480 Queen Street Brisbane QLD 4000,NO,NO,,,,,,,,,CW2310537,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEHICLE COMPONENTS,5/07/2023,"161,155.90",AUD,Key Source Rail Pty Ltd,PO Box 4077 Midvale WA 6056,NO,NO,,,,,,,,,4502684615,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/04/2023,"154,904.83",AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,YES,NO,,,,,,,,,4502651280,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",5/07/2023,"135,300.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502684745,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/07/2023,"135,006.30",AUD,Specialist Electrical Solutions Pty,20 Miller Street Murarrie QLD 4172,NO,NO,,,,,,,,,4502684642,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,24/07/2023,"113,960.00",AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502689292,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/07/2023,"110,000.00",AUD,GCG Health Safety & Hygiene,205 Montague Road West End QLD 4101,NO,NO,,,,,,,,,4502689051,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/10/2022,"110,000.00",AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,YES,NO,,,,,,,,,4502587155,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,6/03/2023,"107,624.00",AUD,Watkins Steel Pty Ltd,106 Depot Street Banyo QLD 4014,YES,NO,,,,,,,,,4502639889,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 QUALITY ASSESSMENT REVIEW OF INTERNAL AUDIT (SOA QGP0050-18),2/05/2023,"107,400.00",AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,,,,,,,,,CW2307978,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",31/07/2023,"106,920.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502695287,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,6/07/2023,"93,495.60",AUD,SKF Australia Pty Ltd,12 Navigator Place Hendra QLD 4011,NO,NO,,,,,,,,,4502684928,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",28/07/2023,"91,143.32",AUD,Bremer Ford,34 Brisbane Road Ebbw Vale QLD 4304,NO,NO,,,,,,,,,4502690326,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,27/07/2023,"83,796.37",AUD,The Pump House,PO Box 546 Nambour QLD 4560,NO,NO,,,,,,,,,4502690243,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2023 MANUFACTURE, ASSEMBLE AND SUPPLY - ONE CONCRETE HOPPER AND TROLLEY ASSEMBLY",7/07/2023,"83,453.00",AUD,Gold Creek Engineers Australia,10 Keryn Pl Keperra QLD 4054,NO,NO,,,,,,,,,CW2310532,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/07/2023,"80,663.00",AUD,Voestalpine Railway Systems,PO Box 391 Mackay QLD 4740,NO,NO,,,,,,,,,4502687586,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,26/07/2023,"79,200.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502690050,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR & EXCAV EQUIP,4/07/2023,"74,580.00",AUD,Komatsu Forklift,PO Box 226 Sumner Park QLD 4074,NO,NO,,,,,,,,,4502684544,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,5/07/2023,"73,062.00",AUD,Mears Construction & Training P/L,Lot 1 Hynes Street South Johnstone QLD 4859,NO,NO,,,,,,,,,4502684706,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,12/07/2023,"68,442.00",AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502687762,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,24/07/2023,"67,485.00",AUD,Karreman Quarries,632 West Mt Cotton Road Mt Cotton QLD 4165,NO,NO,,,,,,,,,4502689429,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2023 MANUFACTURE, ASSEMBLE AND SUPPLY OF ONE DISASSEMBLEABLE TROLLEY ASSEMBLY",7/07/2023,"65,804.00",AUD,Gold Creek Engineers Australia,10 Keryn Pl Keperra QLD 4054,NO,NO,,,,,,,,,CW2310536,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,25/07/2023,"62,350.24",AUD,ZF Services Australia Pty Ltd,13 Bessemer Street Blacktown NSW 2148,NO,NO,,,,,,,,,4502689609,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/07/2023,"62,304.00",AUD,Sound Control,Corner Fulcrum and Bandara Street Richlands QLD 4077,NO,NO,,,,,,,,,4502687840,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/07/2023,"61,024.66",AUD,Acquired Awareness Traffic,PO Box 5757 Brendale QLD 4500,NO,NO,,,,,,,,,4502687345,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ADVERTISING & GRAP,24/07/2023,"57,600.00",AUD,Australasian Railway,Plaza Offices East Canberra Airport Terminal Complex ACT 2609,NO,NO,,,,,,,,,4502689469,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,31/07/2023,"56,369.05",AUD,ZF Services Australia Pty Ltd,13 Bessemer Street Blacktown NSW 2148,NO,NO,,,,,,,,,4502695272,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,3/07/2023,"55,000.00",AUD,Tactix Group Pty Ltd,156 Clarence Street Sydney NSW 2000,NO,NO,,,,,,,,,4502684291,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",19/07/2023,"55,000.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502688699,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/06/2022,"55,000.00",AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,YES,NO,,,,,,,,,4502543004,,,,,
