Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,30/08/2017,"3,504,498.00",AUD,Corcoran Vegetation Pty,PO Box 360 Edmonton QLD 4870,YES,NO,,,,,,,,CW2258911,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,30/04/2018,"3,500,000.00",AUD,T6 Rail Specialists Pty Ltd,13 Pease Street Manoora QLD 4870,YES,NO,OPEN,,,,,,,CW2266436,,CW2262526,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/01/2018,"3,000,000.00",AUD,Sonic Healthplus Pty Ltd,PO BOX 1237 Osborne Park WA 6916,YES,NO,,,,,,,,CW2262062,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,30/04/2018,"3,000,000.00",AUD,Joe Wagner Group Pty Ltd,15 Parker Street Drayton QLD 4350,YES,NO,OPEN,,,,,,,CW2266307,,CW2262526,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/04/2019,"2,900,000.00",AUD,Downer EDI Rail,PO Box 211 Maryborough QLD 4650,YES,NO,,,,,,,,CW2273656,,CW2285191,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Project Management,21/07/2017,"2,846,059.00",AUD,SYSTRA Scott Lister Australia Pty L,Chifley Square Sydney NSW 2000,YES,NO,,,,,,,,CW2258695,,CW2224191,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,3/04/2017,"2,700,000.00",AUD,Harsco Rail Pty Ltd,PO Box 5287 Brendale QLD 4500,YES,NO,CLOSED,,,,,,,CW2252036,,CW2252023,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/07/2018,"2,514,349.00",AUD,G James Safety Glass (QLD) Pty Ltd,PO Box 1376 Eagle Farm QLD 4009,YES,NO,,,,,,,,CW2267337,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,26/07/2018,"2,500,000.00",AUD,Alligator Mobile Welding,PO Box 476 Alligator Creek QLD 4816,YES,NO,OPEN,,,,,,,CW2264963,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Electrical and Power Systems Engineering,13/12/2016,"2,280,000.00",AUD,Norton Project Solutions Pty Ltd,PO Box 843 Indooroopilly QLD 4068,YES,NO,OPEN,,,,,,,CW2251813,,CW2251800,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,12/07/2018,"2,200,000.00",AUD,Joe Wagner Group Pty Ltd,15 Parker Street Drayton QLD 4350,YES,NO,OPEN,,,,,,,CW2265083,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,22/12/2016,"2,134,936.40",AUD,Freelance Civil Services,PO Box 290 Albany Creek QLD 4035,YES,NO,,,,,,,,CW2244288,,CW2224236,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,26/04/2016,"2,100,316.00",AUD,TSA Management Pty LTtd,207 Kent Street Sydney NSW 2000,YES,NO,,,,,,,,CW2245094,,CW2266366,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,22/12/2016,"2,068,161.00",AUD,Interface Rail Engineering Pty Ltd,470 Collins Street Melbourne VIC 3000,YES,NO,,,,,,,,CW2244284,,CW2266356,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",8/08/2017,"2,057,000.00",AUD,Glendon Quarry Trust,PO Box 711 Emerald QLD 4720,YES,NO,,,,,,,,CW2257115,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/04/2017,"1,824,200.00",AUD,Sigtech Solutions Australia Pty Lim,PO Box 1040 Indooroopilly QLD 4068,YES,NO,,,,,,,,CW2256491,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/02/2017,"1,818,147.00",AUD,Jacobs Group (Australia) Pty Ltd,PO Box 3848 South Brisbane QLD 4101,YES,NO,,,,,,,,CW2255363,,CW2266288,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE PROTECTION,3/04/2018,"1,750,952.00",AUD,Fire Services Queensland Pty Ltd,1/20 Valente Close Chermside QLD 4032,YES,NO,,,,,,,,CW2262282,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/03/2015,"1,637,950.06",AUD,Austbreck Pty Ltd,36 Westpool Drive Hallam VIC 3803,YES,NO,,,,,,,,4600032038,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/09/2016,"1,627,192.00",AUD,AECOM Australia Pty Ltd,PO Box 1307 Fortitude Valley QLD 4006,YES,NO,,,,,,,,CW2244294,,CW2224197,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,2/06/2017,"1,598,160.00",AUD,Software AG Australia Pty Ltd,182 Blues Point Road McMahons Point NSW 2060,YES,NO,,,,,,,,CW2257956,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,1/02/2017,"1,574,797.00",AUD,Interface Rail Engineering Pty Ltd,470 Collins Street Melbourne VIC 3000,YES,NO,,,,,,,,CW2254163,,CW2266356,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,2/08/2016,"1,545,845.00",AUD,Savills Project Management Pty Ltd,66 Eagle Street Brisbane QLD 4000,YES,NO,,,,,,,,CW2249788,,CW2224293,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/12/2017,"1,543,971.10",AUD,SMEC Australia Pty Ltd,PO Box 5333 South Brisbane QLD 4101,YES,NO,OPEN,,,,,,,CW2261798,,CW2258961,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/06/2017,"1,500,000.00",AUD,MRD Rail Technologies Pty Ltd,235 South Street Cleveland QLD 4163,YES,NO,,,,,,,,CW2257486,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/12/2017,"1,433,465.00",AUD,AECOM Australia Pty Ltd,PO Box 1307 Fortitude Valley QLD 4006,YES,NO,OPEN,,,,,,,CW2261686,,CW2258961,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,11/07/2018,"1,200,000.00",AUD,Toxfree Australia Pty Ltd,PO Box 957 Coopers Plains QLD 4108,YES,NO,OPEN,,,,,,,CW2265254,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,26/07/2018,"1,200,000.00",AUD,Wongabel Quarries N Concrete,PO Box 1336 Atherton QLD 4883,YES,NO,OPEN,,,,,,,CW2265269,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,8/04/2019,"1,200,000.00",AUD,Otto Housing and Commercial,66 Chapman Drive Wamuran QLD 4512,YES,NO,OPEN,,,,,,,CW2274026,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PRINTING SERVICES,26/07/2018,"1,100,000.00",AUD,CPX Printing & Logistics,PO Box 857 Brisbane QLD 4001,YES,NO,,,,,,,,CW2267958,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/03/2018,"1,035,388.91",AUD,Golder Associates Pty Ltd,PO Box 6079 Hawthorn VIC 3122,YES,NO,OPEN,,,,,,,CW2261734,,CW2258961,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,17/07/2017,"1,000,000.00",AUD,Cubis Systems,73 Ballarat - Carngham Road Winter Valley VIC 3358,YES,NO,,,,,,,,CW2258011,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,12/07/2018,"1,000,000.00",AUD,Marks Earthworx,113 Blackwood Street Mitchelton QLD 4053,YES,NO,OPEN,,,,,,,CW2265113,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/11/2017,"961,000.00",AUD,Hitachi Rail STS Australia Pty Ltd,PO Box 1168 Eagle Farm QLD 4009,YES,NO,,,,,,,,CW2257628,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHTING & LAMPS,17/07/2017,"900,000.00",AUD,Battery Energy Power Solutions,96 Fairfield Street Fairfield NSW 2165,YES,NO,,,,,,,,CW2258013,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/04/2019,"809,267.97",AUD,Mondo Power Pty Ltd,"Level 26/2, South Boulevard Southbank VIC 3006",YES,NO,,,,,,,,CW2274046,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,5/03/2019,"781,340.00",AUD,Ranbury Management Group Pty Ltd,270 Adelaide Street Brisbane QLD 4000,YES,NO,,,,,,,,CW2272397,,CW2237698,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICE REPAIR COMP,24/10/2017,"750,000.00",AUD,Melvelle Equipment Corp Pty Ltd,10 Rogilla Close Maryland NSW 2287,YES,NO,CLOSED,,,,,,,CW2259711,,CW2252023,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/11/2016,"733,162.51",AUD,ESRI Australia,111 Elizabeth Street Brisbane QLD 4000,YES,NO,,,,,,,,CW2251418,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Other Direct Professional Services,23/05/2019,"731,072.00",AUD,Talent Street,417 Logan Road Stones Corner QLD 4120,YES,NO,,,,,,,,CW2275215,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,8/01/2018,"714,400.00",AUD,Gartner Australasia Pty Ltd,320 Adelaide St Brisbane QLD 4000,YES,NO,,,,,,,,CW2263248,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/06/2019,"675,584.00",AUD,One Rail,PO Box 747 Mt Ommaney QLD 4074,YES,NO,,,,,,,,CW2275881,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/12/2017,"670,865.00",AUD,Rockfield Technologies Australia Pt,155 Hugh Street Currajong QLD 4812,YES,NO,OPEN,,,,,,,CW2261792,,CW2258961,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,16/01/2018,"669,162.00",AUD,Jacobs Group (Australia) Pty Ltd,PO Box 3848 South Brisbane QLD 4101,YES,NO,,,,,,,,CW2261823,,CW2224260,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,18/12/2017,"625,546.64",AUD,Rail Management Consultants,541 Kent Street Sydney NSW 2000,YES,NO,,,,,,,,CW2260604,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,11/11/2015,"621,677.00",AUD,Informatica Australia Pty Ltd,255 George Street Sydney NSW 2000,YES,NO,,,,,,,,CW2243025,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,19/07/2016,"586,272.00",AUD,BMC Software Australia Pty Ltd,383 Kent Street Sydney NSW 2000,YES,NO,,,,,,,,CW2249129,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,4/07/2016,"568,782.00",AUD,Oracle Corp Aust Pty Ltd,4 Julius Avenue North Ryde NSW 2113,YES,NO,,,,,,,,CW2247780,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,4/12/2017,"544,049.64",AUD,Benestar Group Pty Ltd,44 Market Street Sydney NSW 2000,YES,NO,,,,,,,,CW2262172,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Electrical and Power Systems Engineering,13/02/2017,"500,000.00",AUD,Advisian Pty Ltd,60 Albert Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,CW2252228,,CW2251800,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/06/2017,"480,000.00",AUD,Capacitor Technologies Pty Ltd,PO Box 240 Ferntree Gully VIC 3156,YES,NO,,,,,,,,CW2257072,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Other Direct Professional Services,3/08/2020,"473,320.00",AUD,iPLAN Consulting Pty Ltd,9 Moore Street Albion QLD 4010,YES,NO,,,,,,,,CW2285291,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUBSCRIPTIONS,30/06/2017,"459,351.00",AUD,Infoview Technologies Pty Ltd,15 Adelaide Street Brisbane QLD 4000,YES,NO,,,,,,,,CW2253870,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,23/09/2020,"442,400.00",AUD,BMT WBM Pty Ltd,200 Creek Street Spring Hill QLD 4000,NO,NO,,,,,,,,CW2286195,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,25/06/2018,"419,742.00",AUD,C-Net Pty Ltd,689 Burke Road Camberwell VIC 3124,YES,NO,,,,,,,,CW2266674,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Other Direct Professional Services,9/07/2020,"413,760.00",AUD,TSA Management Pty LTtd,207 Kent Street Sydney NSW 2000,YES,NO,,,,,,,,CW2284844,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/12/2017,"359,184.00",AUD,Jacobs Group (Australia) Pty Ltd,PO Box 3848 South Brisbane QLD 4101,YES,NO,,,,,,,,CW2261763,,CW2258961,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/12/2017,"349,171.00",AUD,Donald Cant Watts Corke,340 Adelaide Street Brisbane QLD 4000,YES,NO,,,,,,,,CW2261715,,CW2258961,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/11/2017,"348,500.00",AUD,Homestead Computer Solutions,20 Cocos Drive Ningi QLD 4511,YES,NO,,,,,,,,CW2260987,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,18/11/2015,"344,467.00",AUD,Deputec Pty Ltd,177 Botany Road Waterloo NSW 2017,YES,NO,,,,,,,,CW2243188,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICE REPAIR COMP,25/09/2017,"288,000.00",AUD,Corys Tess,44 Rue Des Martyrs Grenoble Cedex F-38027  38027,YES,NO,,,,,,,,CW2256226,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","Design, Architecture & Certification",28/09/2020,"256,820.00",AUD,Red Fox Advisory,PO Box 1240 Brisbane QLD 4000,YES,NO,,,,,,,,CW2285928,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,12/07/2016,"251,055.40",AUD,Bentley System International,Upper Hatch Street Dublin DB DUBLIN 2,YES,NO,,,,,,,,CW2248938,,CW2265796,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUBSCRIPTIONS,12/12/2016,"245,000.00",AUD,Nearmap Australia Pty Ltd,6-8 Underwood Street Sydney NSW 2000,YES,NO,,,,,,,,CW2252760,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/12/2017,"200,000.00",AUD,Aurecon Australasia Pty Ltd,32 Turbot Street Brisbane QLD 4001,YES,NO,,,,,,,,CW2261693,,CW2258961,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/12/2017,"190,210.00",AUD,Cloud Assess Pty Ltd,9 Lawson Street Southport QLD 4215,YES,NO,,,,,,,,CW2262410,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,1/11/2018,"170,000.00",AUD,Metro Trains Australia Pty Ltd,700 Collins Street Docklands VIC 3008,YES,NO,,,,,,,,CW2270727,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,26/07/2018,"150,000.00",AUD,Donohoe Consulting Pty Ltd,6 Willis Street Gordon Park QLD 4031,YES,NO,,,,,,,,CW2268297,,CW2261412,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,23/07/2018,"149,510.00",AUD,A2K Technologies Pty Ltd,62 Brandl Street Eight Mile Plains QLD 4113,YES,NO,,,,,,,,CW2262401,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DESKTOP SOFTWARE,22/02/2019,"114,356.02",AUD,Laboratorio Di Ingegneria,C/O Studio Degrassi - Via Mazzin 20 Trieste TS 34121,YES,NO,,,,,,,,CW2268403,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,19/03/2018,"99,560.00",AUD,Bronwyn McAdam,PO Box 214 The Gap QLD 4061,YES,NO,,,,,,,,CW2265593,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,1/08/2018,"64,813.00",AUD,Diligent Board Services,333 George Street Sydney NSW 2000,YES,NO,,,,,,,,CW2268630,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DESKTOP SOFTWARE,28/04/2016,"56,732.00",AUD,Intercad Pty Ltd,PO Box 6244 Frenchs Forest NSW 2086,YES,NO,,,,,,,,CW2247313,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/12/2017,"9,400.00",AUD,Core Consultants Pty Ltd,PO Box 5569 Maroochydore BC QLD 4558,YES,NO,,,,,,,,CW2261712,,CW2258961,,,
